,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
54,0,2853.5450495644504,0.5797755710082129,"[3, 13, 2, 6, 19, 9, 17, 8, 10, 20, 5, 18, 1, 21, 16, 4, 12, 15, 0, 14, 7, 11]",20,100000,16
55,100000,1695.9264594022002,0.6070214419160038,"[17, 21, 5, 3, 8, 15, 12, 18, 10, 16, 2, 6, 1, 7, 4, 13, 9, 0, 19, 14, 20, 11]",20,100000,16
56,0,2982.8906333048126,0.6266447709640488,"[7, 5, 17, 1, 19, 14, 21, 10, 3, 18, 6, 4, 15, 12, 2, 20, 13, 0, 16, 11, 9, 8]",20,100000,17
57,100000,1938.108729011415,0.6459260289557278,"[8, 9, 17, 11, 19, 3, 2, 1, 7, 13, 6, 4, 21, 0, 18, 20, 15, 12, 16, 5, 10, 14]",20,100000,17
58,0,3084.8435343802494,0.6650442039826885,"[15, 7, 13, 3, 20, 19, 21, 8, 6, 5, 0, 10, 4, 14, 12, 9, 2, 11, 1, 17, 16, 18]",20,100000,18
59,100000,1594.7980622362559,0.7003120029112324,"[12, 15, 4, 6, 2, 21, 5, 16, 8, 14, 3, 0, 20, 11, 9, 1, 17, 7, 13, 10, 19, 18]",20,100000,18
60,0,2911.6493250811313,0.7215180449420586,"[18, 19, 6, 12, 20, 3, 13, 4, 10, 14, 15, 16, 17, 5, 2, 7, 11, 0, 9, 1, 8, 21]",20,100000,19
61,100000,1614.5671190612704,0.7461273339577019,"[14, 19, 10, 12, 20, 11, 17, 4, 21, 2, 16, 0, 8, 5, 3, 18, 15, 7, 9, 1, 13, 6]",20,100000,19
62,0,3117.441165015433,0.7683631129330024,"[21, 8, 2, 15, 19, 5, 9, 13, 1, 11, 14, 7, 10, 20, 17, 18, 4, 0, 3, 12, 16, 6]",20,100000,20
63,100000,2071.27642810002,0.7843242199160159,"[5, 8, 4, 19, 15, 12, 16, 2, 1, 21, 9, 7, 11, 20, 17, 13, 0, 18, 10, 14, 3, 6]",20,100000,20
64,0,2187.6151774566442,0.0001236919779330492,"[20, 10, 14, 13, 1, 21, 11, 19, 8, 6, 16, 4, 2, 5, 17, 9, 7, 18, 3, 0, 15, 12]",30,100000,0
65,100000,1645.6721118592984,0.012050195946358144,"[3, 14, 18, 8, 2, 1, 11, 20, 9, 13, 7, 4, 21, 5, 16, 17, 6, 10, 19, 12, 15, 0]",30,100000,0
66,0,2877.129626952868,0.034219800028949976,"[10, 7, 11, 2, 4, 6, 0, 3, 17, 1, 15, 5, 16, 19, 18, 9, 20, 8, 21, 12, 13, 14]",30,100000,1
67,100000,1245.248339539132,0.045111580984666944,"[16, 17, 9, 1, 7, 4, 21, 5, 3, 14, 8, 0, 19, 10, 18, 11, 20, 15, 12, 6, 13, 2]",30,100000,1
68,0,2889.67015708693,0.06729999394156039,"[13, 11, 3, 9, 7, 20, 10, 18, 5, 15, 14, 1, 17, 4, 12, 21, 0, 19, 2, 16, 6, 8]",30,100000,2
69,100000,1548.8828123369337,0.08754650596529245,"[21, 6, 4, 9, 11, 20, 18, 10, 8, 19, 14, 3, 17, 1, 13, 5, 0, 12, 15, 16, 2, 7]",30,100000,2
70,0,3219.985214068201,0.10999211098533124,"[8, 21, 0, 10, 5, 3, 11, 13, 6, 16, 1, 18, 12, 4, 20, 17, 2, 14, 9, 19, 7, 15]",30,100000,3
71,100000,1548.3970074178287,0.1272956810425967,"[11, 20, 0, 5, 2, 7, 21, 4, 6, 16, 13, 1, 17, 12, 9, 18, 10, 8, 19, 14, 3, 15]",30,100000,3
72,0,2760.900789925816,0.15156330994796008,"[11, 18, 14, 6, 2, 7, 17, 12, 1, 4, 13, 5, 15, 8, 10, 20, 21, 0, 3, 9, 19, 16]",30,100000,4
73,100000,1435.0321839766173,0.17311750096268952,"[0, 3, 14, 19, 16, 21, 4, 7, 1, 17, 13, 5, 8, 10, 18, 20, 11, 12, 2, 6, 9, 15]",30,100000,4
74,0,3247.518812941415,0.19898848596494645,"[15, 8, 6, 21, 14, 4, 2, 12, 0, 7, 16, 3, 13, 18, 20, 5, 10, 17, 11, 1, 9, 19]",30,100000,5
75,100000,1427.6609418628502,0.21783444297034293,"[18, 10, 19, 0, 3, 2, 6, 16, 1, 4, 21, 7, 12, 15, 20, 11, 13, 9, 17, 5, 8, 14]",30,100000,5
76,0,2960.676046034463,0.24310562096070498,"[5, 20, 2, 11, 1, 15, 3, 9, 19, 0, 14, 7, 13, 6, 17, 18, 8, 4, 21, 12, 16, 10]",30,100000,6
77,100000,1975.8808651379868,0.2543519289465621,"[11, 20, 13, 17, 2, 15, 12, 18, 19, 0, 14, 9, 1, 6, 21, 3, 8, 5, 7, 4, 16, 10]",30,100000,6
78,0,3349.0018797515704,0.28012506396044046,"[12, 21, 4, 3, 19, 17, 5, 20, 0, 13, 6, 2, 15, 8, 1, 11, 14, 7, 18, 9, 10, 16]",30,100000,7
