,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
24,0,103.0,0.0060037230141460896,"[0, 4, 1, 4, 1, 2, 2, 0, 1, 1]",30,100000,1
25,100000,210.0,0.007261759019456804,"[0, 4, 4, 4, 4, 2, 4, 4, 1, 4]",30,100000,1
26,0,122.0,0.01173264707904309,"[1, 0, 2, 2, 3, 2, 3, 2, 1, 2]",30,100000,2
27,100000,178.0,0.01270542701240629,"[1, 3, 2, 3, 3, 2, 4, 2, 4, 3]",30,100000,2
28,0,108.0,0.017040373058989644,"[0, 3, 0, 2, 2, 0, 4, 3, 4, 0]",30,100000,3
29,100000,186.0,0.018269277992658317,"[0, 3, 0, 2, 4, 4, 4, 3, 4, 3]",30,100000,3
30,0,153.0,0.022659457987174392,"[3, 2, 4, 3, 3, 0, 3, 0, 4, 2]",30,100000,4
31,100000,194.0,0.023660958046093583,"[3, 2, 4, 4, 3, 2, 4, 2, 4, 2]",30,100000,4
32,0,74.0,0.02818213205318898,"[0, 4, 0, 3, 2, 0, 0, 1, 1, 0]",30,100000,5
33,100000,201.0,0.029607119970023632,"[0, 4, 4, 3, 2, 4, 3, 4, 1, 4]",30,100000,5
34,0,135.0,0.034162480966188014,"[0, 2, 4, 0, 4, 3, 3, 0, 0, 3]",30,100000,6
35,100000,212.0,0.0357061909744516,"[4, 2, 4, 4, 4, 4, 3, 4, 0, 3]",30,100000,6
36,0,105.0,0.04044930299278349,"[1, 2, 0, 3, 0, 2, 4, 3, 2, 1]",30,100000,7
37,100000,188.0,0.04222927999217063,"[1, 4, 2, 3, 2, 2, 4, 4, 4, 3]",30,100000,7
38,0,143.0,0.04701896896585822,"[3, 2, 1, 4, 4, 4, 0, 0, 2, 0]",30,100000,8
39,100000,211.0,0.0496330150635913,"[4, 4, 2, 4, 4, 4, 0, 1, 3, 4]",30,100000,8
40,0,154.0,0.05458336498122662,"[1, 4, 1, 2, 2, 3, 1, 2, 2, 4]",30,100000,9
41,100000,198.0,0.05591052502859384,"[2, 4, 3, 3, 2, 4, 2, 3, 2, 4]",30,100000,9
42,0,61.0,0.06081174698192626,"[2, 0, 2, 3, 0, 0, 1, 0, 0, 2]",30,100000,10
43,100000,194.0,0.06343932799063623,"[2, 4, 2, 3, 3, 4, 3, 2, 4, 2]",30,100000,10
44,0,151.0,0.06857943197246641,"[4, 1, 2, 3, 4, 1, 0, 4, 1, 2]",30,100000,11
45,100000,213.0,0.07053304300643504,"[4, 4, 4, 3, 4, 4, 2, 4, 1, 2]",30,100000,11
46,0,155.0,0.07573933305684477,"[3, 0, 2, 3, 3, 3, 1, 3, 2, 2]",30,100000,12
47,100000,201.0,0.0772938160225749,"[3, 3, 3, 3, 4, 3, 4, 3, 2, 3]",30,100000,12
48,0,62.0,0.08250840904656798,"[4, 0, 0, 2, 3, 1, 0, 0, 0, 0]",30,100000,13
49,100000,194.0,0.0846691980259493,"[4, 4, 0, 2, 4, 4, 4, 4, 3, 2]",30,100000,13
50,0,104.0,0.09006636904086918,"[4, 3, 3, 0, 0, 1, 4, 4, 1, 0]",30,100000,14
51,100000,201.0,0.09166687005199492,"[4, 3, 3, 4, 3, 3, 4, 4, 3, 1]",30,100000,14
52,0,133.0,0.09713495802134275,"[3, 3, 3, 1, 2, 0, 0, 4, 2, 2]",30,100000,15
53,100000,209.0,0.10004979104269296,"[3, 4, 3, 3, 4, 3, 2, 4, 3, 2]",30,100000,15
54,0,153.0,0.10569872602354735,"[3, 4, 0, 4, 3, 1, 3, 2, 1, 4]",30,100000,16
55,100000,210.0,0.10722370003350079,"[3, 4, 0, 4, 3, 4, 3, 4, 3, 4]",30,100000,16
